fixture_id,date,match_time,region_league,league_id,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,match_link,league_stage,last_updated
fcGcCz9l,,14:00,DR CONGO - Ligue 1,Unknown,Etoile de Kivu,FC Renaissance,AyC7mybj,fVHSnLKa,-,-,finished,https://www.flashscore.com/match/football/etoile-de-kivu-AyC7mybj/fc-renaissance-fVHSnLKa/?mid=fcGcCz9l,Unknown,2026-02-26T13:19:47.037417+00:00
CfvNyCgc,,15:00,DR CONGO - Ligue 1,Unknown,Motema Pembe,Dauphins Noirs,MRueczhs,OzNavCpl,-,-,finished,https://www.flashscore.com/match/football/dauphins-noirs-MRueczhs/motema-pembe-OzNavCpl/?mid=CfvNyCgc,Unknown,2026-02-26T13:19:47.037417+00:00
4AEhcVA6,,20:30,EGYPT - Division 2 A,Unknown,Abu Qir Semad,Masar,0jGgnDRP,8nemvXht,-,-,finished,https://www.flashscore.com/match/football/abu-qir-semad-0jGgnDRP/masar-8nemvXht/?mid=4AEhcVA6,Unknown,2026-02-26T13:19:47.037417+00:00
Sr0mJCXP,,20:30,EGYPT - Division 2 A,Unknown,Asyut Petroleum,El Daklyeh,W0hTETl4,fTu5lbuj,-,-,finished,https://www.flashscore.com/match/football/asyut-petroleum-W0hTETl4/el-daklyeh-fTu5lbuj/?mid=Sr0mJCXP,Unknown,2026-02-26T13:19:47.037417+00:00
OEoJDjem,,20:30,EGYPT - Division 2 A,Unknown,El Mansoura,Maleyeit Kafr El Zayiat,dt3L4JJS,4bLm8fm3,-,-,finished,https://www.flashscore.com/match/football/el-mansoura-dt3L4JJS/maleyeit-kafr-el-zayiat-4bLm8fm3/?mid=OEoJDjem,Unknown,2026-02-26T13:19:47.037417+00:00
reQqaitf,,20:30,EGYPT - Division 2 A,Unknown,El-Entag El-Harby,Al-Sekka,jw5i5tLk,Y1fm0wSq,-,-,finished,https://www.flashscore.com/match/football/al-sekka-jw5i5tLk/el-entag-el-harby-Y1fm0wSq/?mid=reQqaitf,Unknown,2026-02-26T13:19:47.037417+00:00
CzI0e9uJ,,20:30,EGYPT - Division 2 A,Unknown,Tanta,Al Qanah,nL7hY2js,na5wg1oG,-,-,finished,https://www.flashscore.com/match/football/al-qanah-nL7hY2js/tanta-na5wg1oG/?mid=CzI0e9uJ,Unknown,2026-02-26T13:19:47.037417+00:00
URGJBUPa,,20:30,EGYPT - Division 2 A,Unknown,Tersana,Proxy,ARsfCqEI,Onos85dp,-,-,finished,https://www.flashscore.com/match/football/proxy-ARsfCqEI/tersana-Onos85dp/?mid=URGJBUPa,Unknown,2026-02-26T13:19:47.037417+00:00
UojvHe9r,,22:00,EL SALVADOR - Copa Presidente,Unknown,Fuerte Aguilares,Hercules,AB73Yk0T,4vEaLK2C,-,-,finished,https://www.flashscore.com/match/football/fuerte-aguilares-AB73Yk0T/hercules-4vEaLK2C/?mid=UojvHe9r,Unknown,2026-02-26T13:19:47.037417+00:00
IPRGGRc2,,22:00,EL SALVADOR - Copa Presidente,Unknown,Fuerte San Francisco,Aguila,dG3y6ucH,KWPjPNr5,-,-,finished,https://www.flashscore.com/match/football/aguila-dG3y6ucH/fuerte-san-francisco-KWPjPNr5/?mid=IPRGGRc2,Unknown,2026-02-26T13:19:47.037417+00:00
lWvieKVO,,22:00,EL SALVADOR - Copa Presidente,Unknown,Racing de Gualuca,Dragon,tGguJnr6,IygC1lUF,-,-,finished,https://www.flashscore.com/match/football/dragon-tGguJnr6/racing-de-gualuca-IygC1lUF/?mid=lWvieKVO,Unknown,2026-02-26T13:19:47.037417+00:00
KYsLHLlf,,16:00,ETHIOPIA - Premier League,Unknown,Mechal,Mekelle 70 Enderta,fF7FZEzp,00ZuwKHc,-,-,finished,https://www.flashscore.com/match/football/mechal-sc-fF7FZEzp/mekelle-70-enderta-fc-00ZuwKHc/?mid=KYsLHLlf,Unknown,2026-02-26T13:19:47.037417+00:00
6ktTFaJ6,,16:00,ETHIOPIA - Premier League,Unknown,Negele Arsi Ketema,Ethiopia Bunna,2yAFxbj3,Ig4eUKaT,-,-,finished,https://www.flashscore.com/match/football/ethiopia-bunna-ethiopian-coffee-2yAFxbj3/negele-arsi-ketema-fc-Ig4eUKaT/?mid=6ktTFaJ6,Unknown,2026-02-26T13:19:47.037417+00:00
O6FLhQXi,,22:00,GUATEMALA - Liga Nacional - Clausura,Unknown,Deportivo Mixco,Mictlan,px1qQF6N,4v2o6i85,-,-,finished,https://www.flashscore.com/match/football/deportivo-mixco-px1qQF6N/mictlan-4v2o6i85/?mid=O6FLhQXi,Unknown,2026-02-26T13:19:47.037417+00:00
r7VvC1Zt,,17:00,GUINEA - Ligue 1,Unknown,CI Kamsar,Ashanti GB,8E8r91EE,p4rwLmg0,-,-,finished,https://www.flashscore.com/match/football/ashanti-gb-sag-8E8r91EE/ci-kamsar-p4rwLmg0/?mid=r7VvC1Zt,Unknown,2026-02-26T13:19:47.037417+00:00
I5WDplMP,,20:00,ICELAND - League Cup,Unknown,Akranes,Valur,zgqsIZWO,GdxJccH5,-,-,finished,https://www.flashscore.com/match/football/akranes-zgqsIZWO/valur-GdxJccH5/?mid=I5WDplMP,Unknown,2026-02-26T13:19:47.037417+00:00
bcTx6el3,,21:00,ICELAND - League Cup,Unknown,IR Reykjavik,Grindavik,zi44AFXa,WU9JK0DR,-,-,finished,https://www.flashscore.com/match/football/grindavik-zi44AFXa/ir-reykjavik-WU9JK0DR/?mid=bcTx6el3,Unknown,2026-02-26T13:19:47.037417+00:00
tKWi4ObB,,15:00,INDIA - ISL,Unknown,Goa,SC Delhi,bmsNPY6c,zafT17en,-,-,finished,https://www.flashscore.com/match/football/fc-goa-bmsNPY6c/sc-delhi-zafT17en/?mid=tKWi4ObB,Unknown,2026-02-26T13:19:47.037417+00:00
